Category,Item Name,Dimensions / Notes,Price,Rental Time,Extra Hour,Overnight,Quantity Available,Circuit Breakers (20A) Needed,Web ID
Bounce Houses,Rainbow Castle,,$198,6 Hours,$50,$75,1,1,rainbow-castle-bounce-house
Bounce Houses,Red Castle Bounce House,,$198,6 Hours,$50,$75,1,1,red-castle-bounce-house
Bounce Houses,Tropical Bouncer,,$198,6 Hours,$50,$75,1,1,tropical-bounce-house
Bounce Houses,Pink Castle,,$198,6 Hours,$50,$75,1,1,pink-castle
Bounce Houses,13x13 Jumpers,,$198,6 Hours,$50,$75,1,1,
Bounce Houses,15x15 Jumpers (Large Jumpers),,,,,,1,,
Bounce Houses,Tropical Bounce House,,$219,6 Hours,$50,$75,1,1,tropical-bouncer-large
Bounce Houses,Rainbow Castle Bounce House,,$219,6 Hours,$50,$75,1,1,"rainbow-castle-large-bouncer, rainbow-castle-large"
Bounce Houses,Rainbow Castle Bounce House #2,,$219,6 Hours,$50,$75,1,1,
Bounce Houses,Unicorn Bounce House,,$219,6 Hours,$50,$75,1,1,unicorn-bounce-house-largee
Bounce Houses,Pink Castle Bounce House,,$219,6 Hours,$50,$75,1,1,"pink-castle-large-bounce-house, pink-castle-large"
Bounce Houses,Lava Castle w/ Basketball Hoop,16x16,$219,6 Hours,$50,$75,1,1,"lava-castle-16x16-w-basket-ball-hoop, lava-castle"
Bounce Houses,Hot Air Balloon Bouncer Large,,$219,,,,,,hot-air-balloon-bouncer-large-2
Bounce Houses,Mini Castle 9'x9',,$180,,,,,,mini-castle
Bounce Houses,Red Castle Large,,$219,,,,,,red-castle-large
Bounce Houses,Sports Large Bouncer,,$219,,,,,,sports-large-bouncer
Bounce Houses,Under The Sea Large Bouncer,,$219,,,,,,under-the-sea-large-bouncer
Combos,Pink Mini Combo #1,22L x 14W x 14H,$280,6 Hours,$70,$99,1,1,pink-mini-combo-1
Combos,Pink Mini Combo #2,22L x 14W x 14H,$280,6 Hours,$70,$99,1,1,pink-mini-combo-2
Combos,Tropical Mini Combo,22L x 14W x 14H,$280,6 Hours,$70,$99,1,1,tropical-mini-combo
Combos,Sports Combo,22L x 14W x 14H,$280,6 Hours,$70,$99,1,1,sports-mini-combo
Combos,Hot Air Balloon Mini Combo,22L x 14W x 14H,$280,6 Hours,$70,$99,1,1,hot-air-balloon-mini-combo-2
Combos,Castle Combo,32L x 16W x 14H,$360,6 Hours,$80,$120,1,1,castle-medium-combo
Combos,Tropical Medium Combo,32L x 16W x 14H,$360,6 Hours,$80,$120,1,1,tropical-medium-combo
