Item Name	Dimensions / Notes	Price	Rental Time	Extra Hour	Overnight	Quantity Available	Circuit Breakers (20A) Needed
Hot Air Balloon Bouncer Large		$219					
Mini Castle 9'x9'		$180					
Red Castle Large		$219					
Sports Large Bouncer		$219					
Under The Sea Large Bouncer		$219					
Castle Mini Combo		$280					
Crayons Mini Combo		$280					
Wacky Castle 5-in-1 Combo		$399					
Concession Station		$300					
15ft High Striker		$250					
6 ft Kiddie Striker		$160					
Rock & Joust		$399					
50 ft Wacky Obstacle Course		$550					
50ft High Voltage Obstacle Course		$550					
90ft High Voltage Obstacle Challenge		$950					
Retro Mirror Booth		$699					
Trackless Train (12-18 passengers)		$1100					
Trackless Train (18-24 passengers)		$1300					
Generator 3500 Watts		$95					
Generator 8000 Watts		$195					
fully Staffed Attendants for Inflatables (Minimum 4hrs)		$130					
Cocktail Tables / High Table		$30					
Folding Chairs		$2					
Kid Chair		$2					
Kids Table		$15					
LINEN		$15					
Long Table		$15					
Resin Chair		$4					
Round Table		$20					
White Canopy 20X30 Tent		$399					
White Canopy 20X40 Tent		$499					
BASIC PACKAGE: SAVE $56.00		$319					
DELUXE PACKAGE SAVE $100		$599					
CORPORATE PACKAGE SAVE $150		$900					
WET PACKAGE DEALS SAVE $126		$950					
